poster_session	id	session_ID	title	presenter	authors	affiliations
PSI	11	1	GENETIC DIVERSITY OF SALMONELLA TYPHIMURIUM AND SALMONELLA ENTERITIDIS ISOLATED FROM DUCKS AND CHICKENS USING RANDOM AMPLIFIED POLYMORPHIC DNA (RAPD)	Frederick Adzitey	Frederick Adzitey_1; Courage Kosi Setsoafia Saba_2; Raja Arief Deli_3	University for Development Studies, Animal Science Department;University for Development Studies, Department of Biotechnology;Food Technology Research Centre, Malaysian Agriculture Research and Development Institute
PSI	12	1	APPLICATION OF PCR-RFLP PROVIDES AS DISCRIMINATION AS TOTAL FLAA SEQUENCE ANALYSIS AMONG C. JEJUNI ISOLATES OF CLINICAL ORIGIN	Mahdi Ghorbanalizadgan	Mahdi Ghorbanalizadgan_1;BitaBakhshi2; ShahinNajar-Peerayeh_2	Department of Bacteriology, Faculty of Medical Sciences, TarbiatModares University, Tehran, IR Iran;Department of Bacteriology, Faculty of Medical Sciences,Baqiyatallah University, Tehran,IR Iran
PSI	13	1	A UNIFIED DATABASE FOR ACINETOBACTER BAUMANNII GENOMIC AND MLST SEQUENCES ENABLES COMPARISON OF PASTEUR AND OXFORD 7-GENE MLST NOMENCLATURES	Raffaele Zarrilli	Raffaele Zarrilli_1;Virginie Passet_2; Eliana Pia Esposito_1; Keith A Jolley_3; Sylvain Brisse_2	Department of Public Health, University of Naples “Federico II”, Naples, Italy;Institut Pasteur, Microbial Evolutionary Genomics, Paris, France;Department of Zoology, University of Oxford, Oxford, UK
PSI	14	1	PHYLOVIZ ONLINE: WEB-BASED PHYLOGENETIC DATA ANALYSIS AND VISUALIZATION FOR ALLELIC PROFILES AND SNP DATA	Bruno Ribeiro-Gonçalves	Bruno Ribeiro-Gonçalves_1; Alexandre Francisco_2; Cátia Vaz_3; Mário Ramirez_1; João André Carriço_1	Instituto de Microbiologia, Instituto de Medicina Molecular, Faculdade de Medicina, Universidade de Lisboa, Lisboa, Portugal; Instituto Superior Técnico, Universidade de Lisboa, Lisboa, Portugal; Instituto Superior de Engenharia de Lisboa, Instituto Politécnico de Lisboa, 007 Lisboa, Portugal
PSI	15	1	COMPARATIVE ANALYSIS SEQUENCING-BASED TYPING METHODS FOR EPIDEMIOLOGICAL STUDY OF C. TRACHOMATIS	Zhanna Amirbekova	Zhanna Amirbekova_1; Dmitriy Babenko_1; Anar Turmuhambetova_1	Karaganda State Medical University
PSI	16	1	APPRAISAL OF COMPLEMENTARY STRATEGIES FOR REFINEMENT OF A CORE GENOME MULTI-LOCUS SEQUENCE TYPING SCHEME FOR TYPING OF ACINETOBACTER BAUMANNII	Mickael Silva	Mickael Silva_1; João André Carriço_1; Nir Gilad_2; Michal Gordon_2; Mario Ramirez_1; Vered Chalifa-Caspi_2;	Faculdade de Medicina, Instituto de Microbiologia, Instituto de Medicina Molecular, Universidade de Lisboa; Surveillance and Pathogenomics Israeli Centre of Excellence, National Institute for Biotechnology in the Negev, Ben-Gurion University of the Negev
PSI	17	1	MLVA FOR THE GENOTYPING OF ACINETOBACTER BAUMANNII: TOWARDS A CONSENSUS FOR INTERPRETATION OF DATA AND THE DEVELOPMENT OF INTERNATIONAL DATABASES	Gilles Vergnaud	Christine Pourcel_1; Yolande Hauck_1; Charles SOLER_2; Gilles Vergnaud_1	University Paris-Saclay; Percy military hospital
PSI	18	1	STRAINTRACER-DB: A FLEXIBLE ANALYSIS AND PERSISTENT STORAGE SYSTEM FOR SEQUENCE AND EPIDEMIOLOGICAL DATA			
PSI	19	1	MICROBESNG: A MICROBIAL SEQUENCING FACILITY DESIGNED TO INTEGRATE MYRIAD OF SEQUENCED WHOLE GENOMES WITH THEIR SAMPLES	Pablo Fuentes Utrilla	Pablo Fuentes Utrilla_1;Emily Richardson_1; Joshua Quick_1; Jennie Law_1; Andrew Smith_1; Ian Henderson1; Roy Chaudhuri_2; Nick Loman_1; Tim Wells_1	University of Birmingham; University of Sheffield
PSI	20	1	A SCRIPTING LANGUAGE FOR STANDARDIZED EVALUATION OF QUALITY METRICS IN GALAXY AND COMMAND-LINE DRIVEN WORKFLOWS		Damion M. Dooley_1; Aaron J. Petkau_2; Franklin Bristow_2; Gary Van Domselaar_2; William W.L. Hsiao_3	Department of Pathology, University of British Columbia; National Microbiology Laboratory, Public Health Agency of Canada; 3Department of Pathology, University of British Columbia & BC Public Health Microbiology and Reference Laboratory
PSI	21	1	GTFINDER WORKFLOW TO DETECT EXCLUSIVELY CONSERVED REGION ACROSS A LARGE GENOME DATASET: SALMONELLA SPP. STUDY	Sabrina Cadel Six	Arnaud Felten_1; Laurent Guillier_1; Fabrice Touzain_2; Michel-Yves Mistou_1; Renaud Lailler_1; Nicolas Radomski_1; Sabrina Cadel Six_1	Université PARIS-EST, Anses, Laboratory for food safety; Anses, Genomic platform
PSI	22	1	MOST: A MODIFIED MLST TYPING TOOL BASED ON SHORT READ SEQUENCING	Rediat Tewolde	Rediat Tewolde_1; Tim Dallman_1; Ulf Schaefer_1; Carmen Sheppard_1; Philip Ashton1; Bruno Pichon_1; Craig Swift_1; Jonathan Green_1; Anthony Underwood_1	Public Health England
PSI	23	1	THE BRUCELLA MLVA DATABASE	Gilles VERGNAUD	Gilles VERGNAUD_1; Yolande HAUCK_1; Christine POURCEL_1; Isabelle JACQUES_2; Axel CLOECKAERT_2; Michel ZYGMUNT_2	University Paris-Saclay; INRA
PSI	24	2	COMPARATIVE GENOMIC ANALYSIS OF TWO NETF-POSITIVE CLOSTRIDIUM PERFRINGENS ISOLATES ASSOCIATED WITH FOAL AND CANINE NECROTIZING ENTERITIS	Iman Mehdizadeh Gohari	Iman Mehdizadeh Gohari_1; Andrew M. Kropinski_1; Scott J. Weese_1; Valeria R. Parreira_1; Ashley E. Whitehead_2; Patrick Boerlin_1; John F. Prescott_1	Department of Pathobiology, University of Guelph;Department of Veterinary Clinical and Diagnostic Sciences, University of Calgary
PSI	25	2	POPULATION PROFILING OF ENTEROCOCCUS FAECIUM: A COMPARATIVE STUDY OF DIVERSITY AND IN-VIVO GENE TRANSFER EVENTS WITHIN THE HUMAN BOWEL	S. A. Ballard	S. A. Ballard_1; S. Xie_1; A. Mahony_1; A. Buultjens_2; E. A. Grabsch_3; M. L. Grayson_1; T. Seemann_4; B. P. Howden_5; T. Stinear_6; P. D. R. Johnson_1	Department of Infectious Diseases, Austin Health;Department of Microbiology and Immunology, Doherty Institute of Infection and Immunity;Department of Microbiology Austin Health;VLSCI, The University of Melbourne;MDUPHL, Doherty Institute for Infection and Immunity;Department of Microbiology and Immunology, Doherty Institute for Infection and Immunity
PSI	26	2	ELUCIDATION OF TRANSMISSION EVENTS OF VANCOMYCIN RESISTANT ENTEROCOCCUS FAECIUM ISOLATES IN INTENSIVE CARE UNITS OF A GERMAN TERTIARY-CARE HOSPITAL	Jennifer Bender_1	Jennifer Bender_1; Carola Fleige_1; Torsten Semmler_1; Sandra Schneider_2; Petra Gastmeier_2; Guido Werner_1	University Medicine Berlin
PSI	28	2	LACK OF GENETIC ISOLATION BY DISTANCE AND PERSISTENCE OF MONOMORPHIC GENOTYPES IN GENERALIST CAMPYLOBACTER JEJUNI STRAINS	Mirko Rossi_1	Mirko Rossi_1; Ji Zhang_1; Ann-Katrin Llarena_1; Minna Vehkala_1; Niko Välimäki_1; Jukka Corander1	University of Helsinki
PSI	29	2	VIRULENCE DIFFERENCES AMONG TYPE AI FRANCISELLA TULARENSIS STRAINS LINKED TO GENETIC MUTATIONS FOUND BY WHOLE GENOME SEQUENCING	Caroline Öhrman	Caroline Öhrman_1; Jeannine Petersen_2; Luke Kingry_2; Kiersten Kugeler_2; Claudia Molins_2; Laurel Respicio/Kingry_2; Andreas Sjödin_1; Mats Forsman_1; Dawn Birdsell_3; Paul Keim_3; Dave Wagner_3; Anders Johansson4	Swedish Defence Research Agency (FOI) Centers for Disease Control and Prevention Northern Arizona University (NAU); Umeå University
PSI	30	2	MOLECULAR TRAITS OF STAPHYLOCOCCUS AUREUS ISOLATED FROM PATIENTS WITH CHRONIC OSTEOMYELITIS	Olga Dmitrenko	Olga Dmitrenko_1; Tamara Phakadze2	Federal State Institution ´´ Federal Research Center for Epidemiology and Microbiology Federal State Institution ´´ Central Research Institute Traumatology and Orthopedics named after N.N. Priorov
PSI	31	2	USING WHOLE GENOME SEQUENCING TO UNDERSTAND HOST-NONTUBERCULOUS MYCOBACTERIA INTERACTION	Sonia Faria	Sonia Faria_1; Vitor Borges_2; Catarina Carneiro_2; Luis Vieira_2; Joao Paulo Gomes_2; Luisa Jordao2	Instituto Nacional de Saúde Dr. Ricardo Jorge/Instituto de Higiene e Medicina Tropical (IHMT/UNL) Instituto Nacional de Saúde Dr. Ricardo Jorge
PSI	32	2	ADAPTIVE EVOLUTION OF BURKHOLDERIA CENOCEPACIA WITHIN THE LUNGS OF A CHRONICALLY INFECTED CYSTIC FIBROSIS PATIENT	Sandra C. dos Santos	Sandra C. dos Santos_1; Carla P. Coutinho_1; Marcus Dillon_2; Ana S. Moreira_1; Rita F. Maldonado_1; Vaughn S. Cooper_2; Isabel Sá-Correia1	iBB – Institute for Bioengineering and Biosciences, Department of Bioengineering, Instituto Superior Técnico, Universidade de Lisboa Department of Microbiology and Molecular Genetics, University of Pittsburgh School of Medicine
PSI	33	2	COMPARATIVE GENOMICS OF AN ENDEMIC STRAIN OF MULTIDRUG-RESISTANT PSEUDOMONAS AERUGINOSA IN A PEDIATRIC CYSTIC FIBROSIS POPULATION	Ruth Ann Luna	Ruth Ann Luna_1; Jennifer K. Spinler_1; Anthony M. Haag_1; Miriam Balderas_1; Prapaporn Boonma_1; Abria R. Magee_1; Peter W. Hiatt_1; James Versalovic1	Baylor College of Medicine/ Texas Children´s Hospital
PSI	34	2	GENOMIC EPIDEMIOLOGY OF THE GAZA COMMUNITY-ACQUIRED METHICILLIN-RESISTANT STAPHYLOCOCCUS AUREUS CLONE; A UNIQUE ST22 CLONE	Qiuzhi Chang	Qiuzhi Chang_1; Asaf Biber_2; Izzeldin Abualaish_3; Hanaa Jaber_2; Galia Rahav_2; William P Hanage_1; Gili Regev-Yochay2	Harvard School of Public Health Sheba Medical Center Toronto University
PSI	35	2	NEXT GENERATION SEQUENCING: THE KEY TO UNDERSTOOD KLEBSIELLA PNEUMONIAE BIOFILMS?	Luisa Jordão	Luisa Jordão_1; Vitor Borges_1; Luis Vieira_1; João Paulo Gomes_1; Aida Duarte2	Instituto Ricardo Jorge Faculdade de Farmácia ULisboa
PSI	36	2	WHOLE GENOME SEQUENCING OF CLONAL COMPLEX 8 MRSA ISOLATES SHOWS SEVERAL CLUSTERS OF USA300-LIKE ISOLATES	Mette Damkjær Bartels	Mette Damkjær Bartels_1; Peder Worning_1; Jesper Boye Nielsen_1; Henrik Westh1	Hvidovre University Hospital
PSI	37	2	MYCOBACTERIUM TILBURGII: THE FIRST SEQUENCED GENOME	Jan Zoll	Jan Zoll_1; Jakko van Ingen, Saskia Kuipers, and Willem Melchers	Radboud University Medical Center
PSI	38	3	DESCRIPTION OF A FATAL OUTBREAK IN A NEONATAL INTENSIVE CARE UNIT (NICU) CAUSED BY THE PAEDIATRIC CLONE (ST5-IVA) OF MRSA	Nuno Alexandre Faria	Nuno Alexandre Faria_1; Maria Miragaia_1; Edgar Botelho-Moniz_2; M. José Espinar_2; Susana Pissarra_2; Carlos Alves_2; M. Manuela Ribeiro_2; Hermínia de Lencastre3	Instituto de Tecnologia Química e Biológica António Xavier; Centro Hospitalar São João; Laboratory of Microbiology and Infectious Diseases, The Rockefeller University
PSI	39	3	APPLICATION OF WHOLE GENOME SEQUENCING TO INVESTIGATE A TWO YEAR’S PSEUDOMONAS AERUGINOSA OUTBREAK	Bárbara Magalhães	Bárbara Magalhães_1; Mohamed M. H. Abdelbary_1; Frédéric Tissot_1; Patrick Basset_1; Mette Berger_2; Yok-Ai Que_2; Philippe Eggimann_2; Guy Prod´Hom_3; Gilbert Greub_3; Giorgio Zanetti_1; Laurence Senn_1; Dominique S. Blanc1	Service of Hospital Preventive Medicine, Lausanne University Hospital; Intensive Care Service, Lausanne University Hospital; Institue of Microbiology, Lausanne University Hospital
PSI	40	3	KPC-2 CARBAPENEMASE PRODUCING ENTEROBACTERIACAE AT A MULTI-SPECIES NOSOCOMIAL OUTBREAK: GENOMIC INSIGHTS OF A NOVEL INCN PLASMID AND ITS DISSEMINATION	Yancheng Yao	Yancheng Yao_1; Can Imirzalioglu_1; Yalda Rezazadeh_1; Konrad Gwozdzinski_1; Linda Falgenhauer_1; Jörg Overmann_2; Boyke Bunk_2; Alexander Goesmann_3; Soeren Gatermann_4; Martin Kaase_4; Torsten Hain_1; Eugen Domann_1; Trinad Chakraborty1	Institute for Medical Microbiology, Justus-Liebig-University Giessen and German Centre for Infection Research (DZIF), partner site Giessen-Marburg-Langen, Compus Giessen, Germany; Leibniz Institute DSMZ- Bioinformatics, German Collection of Microorganisms and Cell Cultures, Braunschweig, and German Center for Infection Research (DZIF), partner site Hannover-Braunschweig, Germany; Bioinformatics Computational Biology, Justus-Liebig-University Giessen and German Centre for Infection Research (DZIF), partner site Giessen-Marburg-Langen, Compus Giessen, Germany; Institute for Hygiene and Medical Microbiology, Ruhr University, Bochum, Germany
PSI	41	3	REAL-TIME WHOLE-GENOME SEQUENCING FOR INVESTIGATING A VANCOMYCIN-RESISTANT ENTEROCOCCUS FAECIUM OUTBREAK AT A TERTIARY CARE HOSPITAL	Mohamed M. H. Abdelbary	Mohamed M. H. Abdelbary_1; Claire Bertelli_2; Gilbert Greub_2; Delphine Hequet_1; Giorgio Zanetti_1; Laurence Senn_1; Dominique S. Blanc1	Service of Hospital Preventive Medicine, Lausanne University Hospital; Institute of Microbiology, Lausanne University Hospital
PSI	42	3	FAST UPDATE, SUPPORTED ON ASO-PCR BASED ON WGS, OF THE PREVALENCE OF A MYCOBACTERIUM TUBERCULOSIS OUTBREAK-STRAIN 20 YEARS AFTER ITS EMERGENCE	Laura Pérez-Lago	Laura Pérez-Lago_1; Estefanía Abascal_2; Diana Maricela Herrera_2; Iñaki Comas_3; Sofía Samper_4; María Isolina Campos-Herrero_5; Rodolfo Copado_6; Laura Sante_7; Emilio Bouza_1; Darío García de Viedma1	Instituto de Investigación Sanitaria Gregorio Marañón; CIBER Enfermedades Respiratorias, CIBERES; Instituto de Investigación Sanitaria Gregorio Marañón; Genomics and Health Unit, FISABIO Public Health; CIBER Salud Pública CIBERESP; Instituto de Investigación Sanitaria Aragón;Hospital Universitario Miguel Servet; CIBER Enfermedades Respiratorias, CIBERES; Hospital Universitario de Gran Canaria Dr. Negrín; Hospital Dr. José Molina Orosa; Hospital Universitario de Canarias
PSI	43	3	MICROEVOLUTION AND PERSISTENCE OF LISTERIA MONOCYTOGENES IN THE ENVIRONMENT AND LINKS TO A FOODBORNE OUTBREAK	Vítor Borges	Vítor Borges_1; Carla Maia_1; Maria João Barreira_1; Leonor Silveira_1; Catarina Silva_1; Silvia Duarte_1; Luis Vieira_1; Luis Lito_2; Mónica Oleastro_1; João Paulo Gomes_1	National Institute of Health, Portugal; Laboratory of Microbiology, Department of Clinical Pathology, Centro Hospitalar de Lisboa Norte
PSI	44	3	TRACING OF INFLUENZA A H3N2 OUTBREAKS IN TWO NURSING HOMES AND A HOSPITAL IN BAVARIA BY WHOLE GENOME SEQUENCING WITHIN THE BAVARIAN INFLUENZA SENTINEL	Dominik Meinel	Dominik Meinel_1; Susanne Heinzinger_2; Ute Eberle_2; Helmut Blum_3; Katharina Schönberger_2; Andreas Sing_2	Unispital Basel; Bavarian Health and Food Safety Authority; Gene Center
PSI	45	3	LARGE-SCALE SURVEY OF BACILLUS CEREUS-INDUCED FOOD-BORNE OUTBREAKS: EPIDEMIOLOGICAL DATA AND GENETIC DIVERSITY	Benjamin GLASSET	Benjamin GLASSET_1; Anne BRISABOIS_1; Sabine HERBIN_1; Jacques-antoine HENNEKINNE_1; Nalini RAMARAO_2	ANSES; INRA
PSI	46	4	CLONAL DYNAMICS OF DIVERSE SALMONELLA ENTERICA SEROTYPES FROM TRADED FOOD PRODUCTS IN PORTUGAL	Joana Campos	Joana Campos_1; Joana Mourão_1; Leonor Silveira_2; Jorge Machado_2; Carla Novais_1; Luísa Peixe_1; Patrícia Antunes_3	UCIBIO/REQUIMTE. Laboratório de Microbiologia, Faculdade de Farmácia, Universidade do Porto; Departamento de Doenças Infeciosas, Instituto Nacional de Saúde Dr. Ricardo Jorge, Lisboa; UCIBIO/REQUIMTE. Laboratório de Microbiologia, Faculdade de Farmácia, Universidade do Porto; Faculdade de Ciências da Nutrição e Alimentação, Universidade do Porto
PSI	47	4	ANTIBIOTIC RESISTANCE AND MOLECULAR CHARACTERIZATION OF STAPHYLOCOCCUS PSEUDINTERMEDIUS STRAINS ISOLATED FROM COMPANION ANIMALS IN RUSSIA	A. Balbutskaya	A. Balbutskaya_1; O. Dmitrenko_2; V. Skvortsov_1	Belgorod department of «All-Russian scientific research institute of experimental veterinary medicine named after Ya.R.Kovalenko»; Federal State Institution «N.F. Gamaleya Federal Scientific Center of Epidemiology and Microbiology» Ministry of Health RF
PSI	48	4	ISOLATION OF ARCOBACTER SPP. QUINOLONE RESISTENT FROM FRESH VEGETABLES	Isidro Favian Bayas Morejón	Isidro Favian Bayas Morejón_1; Ana González Pellicer_1; María Antonia Ferrús Pérez_2	Universitat Politècnica de València; mferrus@btc.upv.es
PSI	49	4	STUDY OF POPULATION DIVERSITY OF TOXOPLASMA GONDII HUMAN STRAINS IN PORTUGAL	Anabela Vilares	Anabela Vilares_1; Idalina Ferreira_1; Susana Martins_1; Maria João Gargaté_1	National Institute of Health Dr Ricardo Jorge, Department of Infectious Diseases, Reference Unit for Parasitic and Fungal Infections
PSI	50	4	IDENTIFICATION OF POTENTIAL AMPLICON SEQUENCING TARGETS FOR IDENTIFICATION AND STRAIN-LEVEL CHARACTERIZATION OF SHIGA TOXIN-PRODUCING ESCHERICHIA COLI	Lori Michelle Gladney	Lori Michelle Gladney_1; Daniel Fasulo_2; Alexandra Mercante_1; Lisley Garcia-Toledo_1; Rebecca Lindsey_1; Eija Trees_1; Nancy Strockbine_1; Efrain Ribot_1; Heather Carleton_1; John Besser_1	Centers for Disease Control and Prevention; Pattern Genomics
PSI	51	5	EVALUATION OF A CORE GENOME MLST SCHEME FOR TYPING OF VANCOMYCIN-RESISTANT ENTEROCOCCI USING PULSED-FIELD GEL ELECTROPHORESIS AS THE REFERENCE METHOD	Meyke Gillis	Meyke Gillis_1; Johanna Tien_1; Danuta Stefanik_1; Bozica Licanin_1; Daniela Tacke_2; Maria J.G.T. Vehreschild_3; Paul G. Higgins_1; Harald Seifert_1	Institute for Medical Microbiology, Immunology and Hygiene, University of Cologne; Department of Anesthesiology and Intensive Care Medicine, University Hospital of Cologne; Department I for Internal Medicine, University Hospital of Cologne
PSI	52	5	REAL-TIME IDENTIFICATION OF CARBAPENEM-RESISTANT KLEBSIELLA PNEUMONIAE OUTBREAK ISOLATES BY FOURIER TRANSFORM INFRARED (FTIR) SPECTROSCOPY	Liliana Silva	Liliana Silva_1; Carla Rodrigues_2; Clara Sousa_3; Agostinho Lira_4; Mariana Leão_4; Margarida Mota_4; Paulo Lopes_4; Angelina Lameirão_4; Gabriela Abreu_4; João Lopes_5; Ângela Novais_2; Luísa Peixe6	UCIBIO@REQUIMTE, Laboratório de Microbiologia, Faculdade de Farmácia, Universidade do Porto, Porto, Portugal; ESALD, Instituto Politécnico de Castelo Branco, Castelo Branco, Portugal; UCIBIO@REQUIMTE, Laboratório de Microbiologia, Faculdade de Farmácia, Universidade do Porto, Porto, Portugal.; CEB-Centro de Engenharia Biológica, Universidade do Minho, Braga, Portugal.; CHVNG/E, Serviço de Patologia Clínica, Centro Hospitalar de Vila Nova de Gaia/Espinho, Vila Nova de Gaia, Portugal; iMed, Departamento de Farmácia Galénica e Tecnologia Farmacêutica, Faculdade de Farmácia, Universidade de Lisboa, Lisboa, Portugal.; UCIBIO@REQUIMTE, Laboratório de Microbiologia, Faculdade de Farmácia, Universidade do Porto, Porto, Portugal
PSI	53	5	NEW MLVA SCHEMES FOR STREPTOCOCCUS PYOGENES AND STREPTOCOCCUS ANGINOSUS TYPING.	Katarzyna Obszańska	Katarzyna Obszańska_1; Izabella Kern-Zdanowicz_1; Izabela Sitkiewicz_2	Institute of Biochemistry and Biophysics, Polish Academy of Sciences; National Medicines Institute
PSI	54	5	USE OF AN EARLY ACCESS MINION TO DETERMINE THE CONTEXT OF RESISTANCE GENES IN ESCHERICHIA COLI AND ACINETOBACTER BAUMANNII	Jane Turton	Jane Turton_1; Claire Perry_1; Katie Hopkins_1; Neil Woodford_1	Public Health England
PSI	55	5	METABOLIC PROFILES OF ST131 ESCHERICHIA COLI SUBCLONES DEPICTED BY FOURIER-TRANSFORM INFRARED SPECTROSCOPY UNVEIL VARIABILITY AMONG THE H30 SUBCLONE	Angela Novais	Angela Novais_1; Carla Rodrigues_1; Clara Sousa_2; Ana Constança Mendes_3; João A Lopes_4; Teresa M Coque_5; Luísa Peixe_1	REQUIMTE@UCIBIO. Faculdade de Farmácia da Universidade do Porto; Center of Biological Engineering, University of Minho; REQUIMTE@UCIBIO. Faculdade de Farmácia da Universidade do Porto; Serviço de Microbiologia, Centro Hospitalar do Porto; iMed, Departamento de Farmácia Galénica e Tecnologia Farmacêutica, Faculdade de Farmácia, Universidade de Lisboa; Departamento de Microbiología, Hospital Universitario Ramón y Cajal, Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS)
PSI	56	5	RECOVERING FULL-LENGTH HUMAN PAPILLOMAVIRUS GENOMES FROM CERVICAL SWAB SAMPLES USING BENCHTOP NEXT GENERATION SEQUENCING.	Joël Mossong	Joël Mossong_1; Jessica Tapp_1; Ardashel Latsuzbaia_1; Steven Weyers_2; Marc Arbyn_3; Trung Nguyen_1; Marc Fischer_1; Dag Harmsen_4; Catherine Ragimbeau_1	Laboratoire National de Santé; Ghent University Hospital; Scientific Institute of Public Health; University Münster
PSI	58	5	INNUENDO: A CROSS-SECTORIAL PLATFORM FOR THE INTEGRATION OF GENOMICS IN SURVEILLANCE OF FOOD-BORNE PATHOGENS	Mirko Rossi	Mirko Rossi_1; João Carriço_2; Javier Garaizar_3; Friederike Hilbert_4; Saara Salmenlinna_5; Marjaana Hakkinen_6; Monica Oleastro_7; Mihkel Mäesaar_8; Aivars Bërziņš_9; INNUENDO consortium10	University of Helsinki; Univeristy of Lisbon; Universidad del Pais Vasco/Euskal Herriko Unibertsitatea; University of Veterinary Medicine, Vienna; National Institute for Health and Welfare; Finnish Food Safety Authority; Instituto Nacional de Saúde Dr. Ricardo Jorge; Veterinary and Food Laboratory; Pārtikas drošības, dzīvnieku veselības un vides zinātniskais institūts; na
PSI	59	5	COMPARISON OF TYPING METHODS FOR HOSPITAL-ASSOCIATED ACINETOBACTER BAUMANNII CLONES ISOLATED IN GREECE AND INDIA	Basil Britto Xavier	Basil Britto Xavier_1; Jasmine Coppens_1; Lavanya Vanjari_2; Konstantina Dafopoulou_3; Julia Sabirova_1; Christine Lammens_1; Olympia Zarkotou_4; Trevor Wagner_5; Athanassios Tsakris_3; Spyros Pournaras_6; Herman Goossens_1; Surbhi Malhotra-Kumar_1	University of Antwerp; National Institute of Tuberculosis,; Department of Microbiology, University of Athens,; Department of Microbiology, Tzaneio General Hospital,; OpGen, Inc.,; Department of Microbiology, Medical School, National and Kapodistrian University of Athens
PSI	61	5	DEVELOPMENT AND EVALUATION OF DOUBLE LOCUS SEQUENCE TYPING FOR MOLECULAR EPIDEMIOLOGICAL INVESTIGATIONS OF CLOSTRIDIUM DIFFICILE	Miloš Stojanov	Miloš Stojanov_1; Bàrbara Magalhaes_2; Valery Terletsky_1; Patrick Basset_1; Guy Prod´hom_1; Gilbert Greub_1; Laurence Senn_1; Dominique Blanc_1	Lausanne University Hospital; Valery Terletsky
